parameter,baseline_estimate,n_successful_boot,boot_mean,boot_sd,ci_2_5,ci_50,ci_97_5
delta_B,0.9165909210993525,100,0.9216349643678902,0.03198414696116765,0.86738431955791,0.9217701256525581,0.9790119415164127
lambda_S,0.1934280226344944,100,0.1797756008915557,0.04049560512932161,0.11578633859826579,0.17548464548344536,0.2722502211900431
phi_K,3.375095688203207,100,3.5527373719180604,2.4822857723236447,0.5126555525751547,3.6485837012030515,8.0
k0,1.6104744909929718,100,1.6708988989087328,0.5643178227834752,1.1393297702388558,1.6054073056015699,2.329027107693372
k1,5.0,100,4.833401396563595,0.424656884849906,3.533792723958444,5.0,5.0
gamma_S,0.8049711465465312,100,0.7417190504310116,0.23919988148490184,0.005154989865503423,0.8370169268760137,0.9174758565211509
