bin_lo,bin_hi,count,data_mean,data_sd,model_mean,model_sd,resid
-7.5,-5.0,123,0.5338080070747844,0.4691246948813227,0.6044394282660752,0.23101817696160748,0.07063142119129084
-5.0,-2.5,544,0.5567792735385004,0.4442292050647548,0.5591130314395788,0.23732872093981572,0.0023337579010783704
-2.5,-1.0,1265,0.5300552707398801,0.40947062546977936,0.5347662162338741,0.2817370691574949,0.004710945493993979
-1.0,-0.5,866,0.49205574651926304,0.4377409184038308,0.5288154335244541,0.3124486211606601,0.03675968700519111
-0.5,0.0,1323,0.5030844272151576,0.40878639292707114,0.5002473360977852,0.31633046499618456,-0.0028370911173724034
0.0,0.5,1757,0.5659881689095243,0.39357962145078856,0.5241671591097727,0.30666371859976704,-0.04182100979975156
0.5,1.0,718,0.48016687453771223,0.445241482958949,0.4975632441325979,0.3131223897968503,0.017396369594885663
1.0,2.5,576,0.405877124871369,0.48187131329801564,0.4326543130896906,0.30825196740185834,0.02677718821832159
2.5,5.0,123,0.38237357600729843,0.5514975605194821,0.35592090279898597,0.33550368831491867,-0.02645267320831246
5.0,7.5,15,0.33351209232720136,0.625952235234313,0.15212023274522699,0.35347290441717966,-0.18139185958197437
