group,n,share_data,share_model,share_gap_data,share_gap_model,switch_data,switch_model,share_data_sd,share_model_sd,switch_data_sd,switch_model_sd,share_resid,share_gap_resid,switch_resid
mint,6119,0.760256330476641,0.7613629434538942,0.520512660953282,0.5227258869077885,0.23974366952335902,0.23863705654610565,0.21071009920470174,0.1481622093183339,0.21071009920470177,0.1481622093183339,0.0011066129772532296,0.0022132259545065702,-0.0011066129772533684
nonmint,1205,0.7387525816806659,0.731447288708217,0.4775051633613319,0.46289457741643397,0.7387525816806659,0.731447288708217,0.23153824920274013,0.16627173388110525,0.2315382492027401,0.16627173388110525,-0.0073052929724489735,-0.014610585944897947,-0.0073052929724489735
hi_price,3662,0.783646279012154,0.83139714435788,0.5672925580243079,0.66279428871576,0.27355073928373,0.1725806426220986,0.19552431057932354,0.12357140965489212,0.25962607716871444,0.13375546712899944,0.047750865345726035,0.09550173069145207,-0.10097009666163143
lo_price,3662,0.7297904624165104,0.6814848419577345,0.4595809248330207,0.36296968391546913,0.37013805775030495,0.46685522081291564,0.22863865287425458,0.13970359940397142,0.2970103805608222,0.22661700545080157,-0.048305620458775844,-0.09661124091755158,0.09671716306261069
tau_parity,3080,0.7694840762954038,0.7569462539307209,0.5389681525908077,0.5138925078614417,0.3118511946838307,0.31115477879445663,0.20069600875716276,0.1555391420031892,0.2783892640996424,0.23356216417037268,-0.012537822364682927,-0.025075644729365965,-0.0006964158893740802
non_tau_parity,4244,0.7474539095480501,0.7560743100332612,0.4949078190961003,0.5121486200665224,0.3290967707616488,0.3259324724816437,0.223404540078706,0.14884512253916293,0.2862430996797937,0.23964435863661693,0.008620400485211066,0.017240800970422077,-0.0031642982800050845
kappa_parity,3002,0.7424714087598536,0.7515382883151703,0.4849428175197073,0.5030765766303406,0.33840007599580074,0.3256206231599697,0.21845790763575484,0.1541522717619624,0.28355194592246596,0.23796274143399498,0.00906687955531671,0.018133759110633252,-0.01277945283583104
non_kappa_parity,4322,0.7666141087493493,0.7598463425186578,0.5332282174986989,0.5196926850373158,0.31034505937048645,0.31561800582433897,0.21101212137207573,0.14987324862954435,0.2822059564307054,0.23661232554307776,-0.00676776623069153,-0.01353553246138306,0.005272946453852512
