bin_lo,bin_hi,count,data_mean,data_sd,model_mean,model_sd,resid
-7.5,-5.0,123,0.387213607823226,0.33695173494271957,0.36349915272382927,0.293337048163386,-0.023714455099396736
-5.0,-2.5,544,0.3451424991304814,0.32070990153576195,0.3287583778173695,0.25081742913797345,-0.0163841213131119
-2.5,-1.0,1265,0.31532592198251375,0.27937730884741946,0.3247222003629613,0.24620187549049158,0.009396278380447542
-1.0,-0.5,866,0.3351525281771029,0.28506017499032343,0.33180228414029495,0.2569572032056923,-0.003350244036807948
-0.5,0.0,1323,0.3445443670862057,0.2844004398424058,0.33496157666065746,0.2456428482799207,-0.009582790425548271
0.0,0.5,1757,0.287233626619891,0.2711869314705294,0.29322854454460817,0.2223601289744199,0.00599491792471718
0.5,1.0,718,0.31004718483472843,0.26667954439455605,0.2972182801051451,0.21279867786818157,-0.012828904729583313
1.0,2.5,576,0.33252124373232067,0.26680501675827256,0.33490222619646975,0.20807446406437155,0.002380982464149084
2.5,5.0,123,0.3660826831672972,0.30766203856539853,0.3521556691645595,0.1948144176398673,-0.013927014002737714
5.0,7.5,15,0.33324395383639926,0.3129761176171565,0.42393988362738655,0.17673645220858983,0.09069592979098728
