scenario,alpha_bin,n,mean_share_gap_base,mean_share_gap_cf,mean_share_B_base,mean_share_B_cf,mean_switch_base,mean_switch_cf,delta_share_gap,delta_share_B,delta_switch
equalize_enforcement,"[0.0, 1.0)",126,0.6690499831457953,0.6717821789554468,0.8345249915728977,0.8358910894777235,0.17222847432725896,0.1708895649098505,0.00273219580965145,0.0013660979048257804,-0.0013389094174084681
equalize_enforcement,"[1.0, 2.5)",52,0.442509766289696,0.47183337484466353,0.721254883144848,0.7359166874223317,0.354737881171048,0.34219462518172755,0.029323608554967517,0.014661804277483759,-0.012543255989320434
equalize_enforcement,"[2.5, 5.0)",1178,0.6512536121084604,0.6578831640650558,0.8256268060542302,0.828941582032528,0.2115802247079596,0.2085556642860778,0.006629551956595314,0.003314775978297768,-0.003024560421881789
equalize_enforcement,"[5.0, 7.5)",4933,0.5419032708314261,0.5432055780295725,0.770951635415713,0.7716027890147862,0.284035495913358,0.2821771225486557,0.0013023071981463907,0.0006511535990731954,-0.0018583733647023482
equalize_enforcement,"[7.5, 10.0)",692,0.5367449797814249,0.5339041876070914,0.7683724898907125,0.7669520938035457,0.2839310647241609,0.2834675775545438,-0.0028407921743335285,-0.0014203960871668198,-0.0004634871696170828
equalize_enforcement,"[10.0, 15.0)",343,0.5248429554410088,0.5065272567468102,0.7624214777205044,0.7532636283734052,0.3458287459553423,0.3423849665134763,-0.01831569869419858,-0.009157849347099178,-0.003443779441866024
opensea_matches_blur_enforcement,"[0.0, 1.0)",126,0.6690499831457953,0.6629920344268653,0.8345249915728977,0.8314960172134326,0.17222847432725896,0.17517607473584623,-0.006057948718930062,-0.003028974359465142,0.00294760040858727
opensea_matches_blur_enforcement,"[1.0, 2.5)",52,0.442509766289696,0.438906418103296,0.721254883144848,0.719453209051648,0.354737881171048,0.35653338696986947,-0.0036033481864000128,-0.0018016740931999786,0.001795505798821484
opensea_matches_blur_enforcement,"[2.5, 5.0)",1178,0.6512536121084604,0.6522658053292265,0.8256268060542302,0.8261329026646134,0.2115802247079596,0.21120318354147033,0.0010121932207660667,0.0005060966103831444,-0.00037704116648926145
opensea_matches_blur_enforcement,"[5.0, 7.5)",4933,0.5419032708314261,0.5487885364916907,0.770951635415713,0.7743942682458455,0.284035495913358,0.28151371188071916,0.0068852656602645945,0.003442632830132464,-0.002521784032638863
opensea_matches_blur_enforcement,"[7.5, 10.0)",692,0.5367449797814249,0.5498834620694745,0.7683724898907125,0.7749417310347372,0.2839310647241609,0.2789544403637644,0.013138482288049591,0.0065692411440246845,-0.004976624360396531
opensea_matches_blur_enforcement,"[10.0, 15.0)",343,0.5248429554410088,0.5425385989007471,0.7624214777205044,0.7712692994503736,0.3458287459553423,0.3398135054298575,0.017695643459738286,0.008847821729869199,-0.0060152405254848
full_enforcement_both,"[0.0, 1.0)",126,0.6690499831457953,0.6717821789554468,0.8345249915728977,0.8358910894777235,0.17222847432725896,0.1708895649098505,0.00273219580965145,0.0013660979048257804,-0.0013389094174084681
full_enforcement_both,"[1.0, 2.5)",52,0.442509766289696,0.47183337484466353,0.721254883144848,0.7359166874223317,0.354737881171048,0.34219462518172755,0.029323608554967517,0.014661804277483759,-0.012543255989320434
full_enforcement_both,"[2.5, 5.0)",1178,0.6512536121084604,0.6578831640650558,0.8256268060542302,0.828941582032528,0.2115802247079596,0.2085556642860778,0.006629551956595314,0.003314775978297768,-0.003024560421881789
full_enforcement_both,"[5.0, 7.5)",4933,0.5419032708314261,0.5432055780295725,0.770951635415713,0.7716027890147862,0.284035495913358,0.2821771225486557,0.0013023071981463907,0.0006511535990731954,-0.0018583733647023482
full_enforcement_both,"[7.5, 10.0)",692,0.5367449797814249,0.5339041876070914,0.7683724898907125,0.7669520938035457,0.2839310647241609,0.2834675775545438,-0.0028407921743335285,-0.0014203960871668198,-0.0004634871696170828
full_enforcement_both,"[10.0, 15.0)",343,0.5248429554410088,0.5065272567468102,0.7624214777205044,0.7532636283734052,0.3458287459553423,0.3423849665134763,-0.01831569869419858,-0.009157849347099178,-0.003443779441866024
remove_switching_frictions,"[0.0, 1.0)",126,0.6690499831457953,0.429751788703561,0.8345249915728977,0.7148758943517804,0.17222847432725896,0.29510563371601467,-0.23929819444223432,-0.11964909722111727,0.12287715938875571
remove_switching_frictions,"[1.0, 2.5)",52,0.442509766289696,0.41441134378765554,0.721254883144848,0.7072056718938278,0.354737881171048,0.3687870924220683,-0.028098422502040477,-0.01404921125102021,0.014049211251020322
remove_switching_frictions,"[2.5, 5.0)",1178,0.6512536121084604,0.4292556832736591,0.8256268060542302,0.7146278416368296,0.2115802247079596,0.32500800479817343,-0.22199792883480135,-0.11099896441740065,0.11342778009021384
remove_switching_frictions,"[5.0, 7.5)",4933,0.5419032708314261,0.4428669716553284,0.770951635415713,0.7214334858276642,0.284035495913358,0.3612649134789282,-0.09903629917609769,-0.04951814958804879,0.07722941756557017
