scenario,mean_share_B_base,mean_share_B_cf,delta_mean_share_B,mean_share_gap_base,mean_share_gap_cf,delta_mean_share_gap,mean_switch_base,mean_switch_cf,delta_mean_switch,mean_share_B_tau_parity_base,mean_share_B_tau_parity_cf,delta_share_B_tau_parity,mean_share_B_kappa_parity_base,mean_share_B_kappa_parity_cf,delta_share_B_kappa_parity,mean_switch_mint_base,mean_switch_mint_cf,delta_switch_mint,mean_switch_nonmint_base,mean_switch_nonmint_cf,delta_switch_nonmint,mean_switch_hi_price_base,mean_switch_hi_price_cf,delta_switch_hi_price,mean_switch_lo_price_base,mean_switch_lo_price_cf,delta_switch_lo_price
equalize_enforcement,0.7798433271111167,0.7803795685839083,0.000536241472791632,0.5596866542222335,0.5607591371678166,0.001072482945583042,0.27384425454457983,0.2717889310392512,-0.00205532350532861,0.7803086326522721,0.7794175366543287,-0.0008910959979434585,0.7746287547741899,0.7803795685839083,0.005750813809718425,0.19717787159034839,0.1956269137622922,-0.0015509578280561986,0.6631567834217099,0.6585402868215852,-0.004616496600124753,0.17230471101950415,0.16925674472378885,-0.0030479662957152986,0.37538379806965544,0.3743211173547136,-0.001062680714941866
opensea_matches_blur_enforcement,0.7798433271111167,0.7832136260544462,0.0033702989433295194,0.5596866542222335,0.5664272521088926,0.006740597886659039,0.27384425454457983,0.27139662992254987,-0.0024476246220299647,0.7803086326522721,0.7803035392246875,-5.093427584590415e-06,0.7746287547741899,0.7793256535001315,0.0046968987259415895,0.19717787159034839,0.19369605493789765,-0.003481816652450731,0.6631567834217099,0.6659607945126638,0.0028040110909538507,0.17230471101950415,0.17019410430076454,-0.0021106067187396105,0.37538379806965544,0.3725991555443353,-0.0027846425253201246
full_enforcement_both,0.7798433271111167,0.7803795685839083,0.000536241472791632,0.5596866542222335,0.5607591371678166,0.001072482945583042,0.27384425454457983,0.2717889310392512,-0.00205532350532861,0.7803086326522721,0.7794175366543287,-0.0008910959979434585,0.7746287547741899,0.7803795685839083,0.005750813809718425,0.19717787159034839,0.1956269137622922,-0.0015509578280561986,0.6631567834217099,0.6585402868215852,-0.004616496600124753,0.17230471101950415,0.16925674472378885,-0.0030479662957152986,0.37538379806965544,0.3743211173547136,-0.001062680714941866
remove_switching_frictions,0.7798433271111167,0.7207633232117412,-0.05908000389937551,0.5596866542222335,0.44152664642348205,-0.11816000779875147,0.27384425454457983,0.3539400932935747,0.08009583874899484,0.7803086326522721,0.7146384598151279,-0.06567017283714427,0.7746287547741899,0.719061204393904,-0.055567550380285935,0.19717787159034839,0.2804695754273043,0.08329170383695589,0.6631567834217099,0.727023992732337,0.06386720931062706,0.17230471101950415,0.32451152204704714,0.152206811027543,0.37538379806965544,0.38336866454010216,0.007984866470446716
blur_matches_opensea_enforcement,0.7798433271111167,0.7770092696405788,-0.0028340574705378874,0.5596866542222335,0.5540185392811575,-0.005668114941075997,0.27384425454457983,0.2742365556612811,0.00039230111670124357,0.7803086326522721,0.7792558309583862,-0.0010528016938858853,0.7746287547741899,0.7781752630365121,0.0035465082623221678,0.19717787159034839,0.19910873041474292,0.0019308588243945324,0.6631567834217099,0.6557362757306314,-0.007420507691078493,0.17230471101950415,0.1713673514425285,-0.0009373595769756604,0.37538379806965544,0.37710575988003375,0.001721961810378314
zero_enforcement_preference,0.7798433271111167,0.7869568058043047,0.007113478693188013,0.5596866542222335,0.5739136116086094,0.014226957386375916,0.27384425454457983,0.2705730661048909,-0.0032711884396889324,0.7803086326522721,0.7798581260796561,-0.00045050657261602733,0.7746287547741899,0.7743492735807448,-0.0002794811934451191,0.19717787159034839,0.1909630242230342,-0.006214847367314175,0.6631567834217099,0.6748335194452069,0.011676736023496948,0.17230471101950415,0.16926530977564103,-0.0030394012438631213,0.37538379806965544,0.3718808224341408,-0.00350297563551466
zero_price_dependent_switching,0.7798433271111167,0.7579637670048467,-0.021879560106270013,0.5596866542222335,0.5159275340096936,-0.043759120212539915,0.27384425454457983,0.29565348713297857,0.02180923258839873,0.7803086326522721,0.7532858475260015,-0.027022785126270654,0.7746287547741899,0.754314909474235,-0.020313845299954947,0.19717787159034839,0.22332403253950295,0.026146160949154562,0.6631567834217099,0.662943057803084,-0.0002137256186258707,0.17230471101950415,0.26644513329989883,0.09414042228039468,0.37538379806965544,0.3248618409660582,-0.05052195710359725
targeted_full_enforcement_high_royalty,0.7798433271111167,0.7792802391239002,-0.0005630879872164929,0.5596866542222335,0.5585604782478002,-0.0011261759744333188,0.27384425454457983,0.27363918225212547,-0.00020507229245436687,0.7803086326522721,0.7777075157866905,-0.002601116865581621,0.7746287547741899,0.7724976059606973,-0.0021311488134926337,0.19717787159034839,0.19739213102395184,0.00021425943360345312,0.6631567834217099,0.6608223411444032,-0.0023344422773067253,0.17230471101950415,0.1719400434288449,-0.0003646675906592567,0.37538379806965544,0.37533832107540616,-4.5476994249282754e-05
