scenario,group,n,mean_share_B_base,mean_share_B_cf,delta_share_B,mean_share_gap_base,mean_share_gap_cf,delta_share_gap,mean_switch_base,mean_switch_cf,delta_switch
opensea_matches_blur_enforcement,mint,6119,0.8028221284096516,0.8063039450621025,0.003481816652450842,0.6056442568193032,0.6126078901242047,0.006963633304901462,0.19717787159034839,0.19369605493789765,-0.003481816652450731
opensea_matches_blur_enforcement,nonmint,1205,0.6631567834217099,0.6659607945126638,0.0028040110909538507,0.3263135668434201,0.3319215890253276,0.005608022181907479,0.6631567834217099,0.6659607945126638,0.0028040110909538507
opensea_matches_blur_enforcement,hi_price,3662,0.8316254957559632,0.8342315646601196,0.002606068904156378,0.6632509915119263,0.6684631293202392,0.005212137808312867,0.17230471101950415,0.17019410430076454,-0.0021106067187396105
opensea_matches_blur_enforcement,lo_price,3662,0.7280611584662703,0.7321956874487728,0.00413452898250255,0.4561223169325405,0.46439137489754573,0.008269057965005211,0.37538379806965544,0.3725991555443353,-0.0027846425253201246
opensea_matches_blur_enforcement,tau_parity,3080,0.7803086326522721,0.7812553965167324,0.0009467638644602427,0.5606172653045443,0.5625107930334646,0.0018935277289203745,0.2663279874823341,0.2657373409616362,-0.0005906465206979017
opensea_matches_blur_enforcement,kappa_parity,3002,0.7746287547741899,0.7751362919010858,0.000507537126895885,0.5492575095483796,0.5502725838021717,0.0010150742537921031,0.2801513270522152,0.2798425242654385,-0.00030880278677669626
full_enforcement_both,mint,6119,0.8028221284096516,0.8043730862377078,0.0015509578280561431,0.6056442568193032,0.6087461724754156,0.0031019156561123973,0.19717787159034839,0.1956269137622922,-0.0015509578280561986
full_enforcement_both,nonmint,1205,0.6631567834217099,0.6585402868215852,-0.004616496600124753,0.3263135668434201,0.3170805736431702,-0.009232993200249895,0.6631567834217099,0.6585402868215852,-0.004616496600124753
full_enforcement_both,hi_price,3662,0.8316254957559632,0.8331214567802746,0.0014959610243113763,0.6632509915119263,0.6662429135605492,0.0029919220486228637,0.17230471101950415,0.16925674472378885,-0.0030479662957152986
full_enforcement_both,lo_price,3662,0.7280611584662703,0.727637680387542,-0.0004234780787283343,0.4561223169325405,0.45527536077508396,-0.0008469561574565576,0.37538379806965544,0.3743211173547136,-0.001062680714941866
full_enforcement_both,tau_parity,3080,0.7803086326522721,0.7810388424529311,0.0007302098006589652,0.5606172653045443,0.5620776849058622,0.0014604196013179305,0.2663279874823341,0.2657077649477546,-0.0006202225345794954
full_enforcement_both,kappa_parity,3002,0.7746287547741899,0.7748288635195749,0.0002001087453850081,0.5492575095483796,0.54965772703915,0.0004002174907703493,0.2801513270522152,0.27998452979120153,-0.00016679726101365144
